_id,case-name,cpu,duration,frame,git-branch,git-commit,git-datetime,git-timestamp,machine,nodename,returncode,test-name,test-size,uuid
5b340b938ea11a1fbfcb7f7c,11_exact_2d_nc_p0,1,0.733081231,Whole Program,master,a81351b8fbe7e8a473b2094f2b9bdd8b3401b9f6,2018-06-22 14:42:31,1529671351,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,0149db3cdad343258e35f4f14a8794dc
5b340daa8ea11ac7d3f7e101,10_exact_2d_cc,1,0.756334845,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,6fad39d044864134b4dd4465a4b06dff
5b340ffe8ea11ac7d3f7f891,11_exact_2d_nc_p0,1,0.712560636,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,20f3b15b1b8f4a53a1997018b058f458
5b3412028ea11ac7d3f810b9,10_exact_2d_cc,1,0.759079007,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,b74139b2a65f46e48b866013e3419317
5b3414048ea11ac7d3f82820,11_exact_2d_nc_p0,1,0.744423014,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,6dee7726f6774542904f59612fe1e865
5b34160b8ea11ac7d3f83f9b,10_exact_2d_cc,1,0.798137707,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,ad5b9ba13fd04cb68bc4792c645bf39b
5b3418118ea11ac7d3f85704,10_exact_2d_cc,1,0.754907334,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,b663be1a851d4cc9b79c3fd5bb44d9fc
5b341a138ea11ac7d3f86e9f,10_exact_2d_cc,1,0.768039272,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,0bb2377f0d8544c48ead548088eb590d
5b341c178ea11ac7d3f88608,11_exact_2d_nc_p0,1,0.734956622,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,da3c3a5e6189469bb8c255f83abbc6a2
5b341e1d8ea11ac7d3f89d53,11_exact_2d_nc_p0,1,0.785215947,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,1089f6d7acf84b5895619e248aa1cdfd
5b3420278ea11ac7d3f8b529,10_exact_2d_cc,1,0.752165023,Whole Program,master,7adef24a006960c17471c67bdb8d88572ead1c61,2018-06-22 14:38:52,1529671132,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,fad713c899724e7784b9543d89dd33ea
